time,setpoint,measured_position,error,raw_voltage,voltage_command
0.092000,90.000000,32.765518,57.662781,12.034882,12.000000
0.093000,90.000000,33.193848,57.234482,11.948822,11.948822
0.094000,90.000000,33.622070,56.806152,11.862732,11.862732
0.095000,90.000000,34.050003,56.377930,11.776657,11.776657
0.096000,90.000000,34.477493,55.949997,11.690628,11.690628
0.097000,90.000000,34.904404,55.522507,11.604675,11.604675
0.098000,90.000000,35.330582,55.095596,11.518829,11.518829
0.099000,90.000000,35.755890,54.669418,11.433121,11.433121
0.100000,90.000000,36.180206,54.244110,11.347580,11.347580
0.101000,90.000000,36.603394,53.819794,11.262222,11.262222
0.102000,90.000000,37.025360,53.396606,11.177078,11.177078
0.103000,90.000000,37.445999,52.974640,11.092178,11.092178
0.104000,90.000000,37.865219,52.554001,11.007538,11.007538
0.105000,90.000000,38.282898,52.134781,10.923172,10.923172
0.106000,90.000000,38.698975,51.717102,10.839111,10.839111
0.107000,90.000000,39.113373,51.301025,10.755371,10.755371
0.108000,90.000000,39.526001,50.886627,10.671967,10.671967
0.109000,90.000000,39.936813,50.473999,10.588913,10.588913
0.110000,90.000000,40.345734,50.063187,10.506210,10.506210
0.111000,90.000000,40.752670,49.654266,10.423889,10.423889
0.112000,90.000000,41.157608,49.247330,10.341965,10.341965
0.113000,90.000000,41.560455,48.842392,10.260437,10.260437
0.114000,90.000000,41.961197,48.439545,10.179321,10.179321
0.115000,90.000000,42.359787,48.038803,10.098633,10.098633
0.116000,90.000000,42.756165,47.640213,10.018356,10.018356
0.117000,90.000000,43.150314,47.243835,9.938538,9.938538
0.118000,90.000000,43.542175,46.849686,9.859161,9.859161
0.119000,90.000000,43.931732,46.457825,9.780243,9.780243
0.120000,90.000000,44.318954,46.068268,9.701782,9.701782
0.121000,90.000000,44.703812,45.681046,9.623779,9.623779
0.122000,90.000000,45.086288,45.296188,9.546249,9.546249
0.123000,90.000000,45.466339,44.913712,9.469208,9.469208
0.124000,90.000000,45.843964,44.533661,9.392654,9.392654
0.125000,90.000000,46.219147,44.156036,9.316574,9.316574
0.126000,90.000000,46.591873,43.780853,9.240982,9.240982
0.127000,90.000000,46.962128,43.408127,9.165894,9.165894
0.128000,90.000000,47.329895,43.037872,9.091293,9.091293
0.129000,90.000000,47.695175,42.670105,9.017197,9.017197
0.130000,90.000000,48.057953,42.304825,8.943588,8.943588
0.131000,90.000000,48.418228,41.942047,8.870483,8.870483
0.132000,90.000000,48.775986,41.581772,8.797882,8.797882
0.133000,90.000000,49.131226,41.224014,8.725784,8.725784
0.134000,90.000000,49.483932,40.868774,8.654190,8.654190
