time,setpoint,measured_position,error,raw_voltage,voltage_command
0.105000,90.000000,38.257111,52.159100,10.847914,10.847914
0.106000,90.000000,38.671646,51.742889,10.763630,10.763630
0.107000,90.000000,39.084431,51.328354,10.679680,10.679680
0.108000,90.000000,39.495392,50.915569,10.596082,10.596082
0.109000,90.000000,39.904465,50.504608,10.512849,10.512849
0.110000,90.000000,40.311584,50.095535,10.429995,10.429995
0.111000,90.000000,40.716694,49.688416,10.347532,10.347532
0.112000,90.000000,41.119736,49.283306,10.265474,10.265474
0.113000,90.000000,41.520660,48.880264,10.183832,10.183832
0.114000,90.000000,41.919422,48.479340,10.102616,10.102616
0.115000,90.000000,42.315983,48.080578,10.021836,10.021836
0.116000,90.000000,42.710300,47.684017,9.941499,9.941499
0.117000,90.000000,43.102337,47.289700,9.861613,9.861613
0.118000,90.000000,43.492062,46.897663,9.782187,9.782187
0.119000,90.000000,43.879444,46.507938,9.703228,9.703228
0.120000,90.000000,44.264458,46.120556,9.624742,9.624742
0.121000,90.000000,44.647079,45.735542,9.546732,9.546732
0.122000,90.000000,45.027287,45.352921,9.469205,9.469205
0.123000,90.000000,45.405056,44.972713,9.392166,9.392166
0.124000,90.000000,45.780373,44.594944,9.315619,9.315619
0.125000,90.000000,46.153217,44.219627,9.239567,9.239567
0.126000,90.000000,46.523575,43.846783,9.164015,9.164015
0.127000,90.000000,46.891430,43.476425,9.088965,9.088965
0.128000,90.000000,47.256779,43.108570,9.014421,9.014421
0.129000,90.000000,47.619614,42.743221,8.940383,8.940383
0.130000,90.000000,47.979923,42.380386,8.866853,8.866853
0.131000,90.000000,48.337700,42.020077,8.793833,8.793833
0.132000,90.000000,48.692944,41.662300,8.721326,8.721326
0.133000,90.000000,49.045650,41.307056,8.649331,8.649331
0.134000,90.000000,49.395817,40.954350,8.577849,8.577849
0.135000,90.000000,49.743439,40.604183,8.506881,8.506881
0.136000,90.000000,50.088520,40.256561,8.436427,8.436427
0.137000,90.000000,50.431061,39.911480,8.366487,8.366487
0.138000,90.000000,50.771065,39.568939,8.297060,8.297060
0.139000,90.000000,51.108536,39.228935,8.228148,8.228148
0.140000,90.000000,51.443481,38.891464,8.159747,8.159747
0.141000,90.000000,51.775906,38.556519,8.091858,8.091858
0.142000,90.000000,52.105812,38.224094,8.024479,8.024479
0.143000,90.000000,52.433208,37.894188,7.957609,7.957609
0.144000,90.000000,52.758099,37.566792,7.891247,7.891247
0.145000,90.000000,53.080490,37.241901,7.825393,7.825393
0.146000,90.000000,53.400394,36.919510,7.760044,7.760044
0.147000,90.000000,53.717819,36.599606,7.695199,7.695199
0.148000,90.000000,54.032776,36.282181,7.630855,7.630855
0.149000,90.000000,54.345276,35.967224,7.567011,7.567011
0.150000,90.000000,54.655327,35.654724,7.503665,7.503665
0.151000,90.000000,54.962940,35.344673,7.440814,7.440814
0.152000,90.000000,55.268124,35.037060,7.378458,7.378458
0.153000,90.000000,55.570889,34.731876,7.316593,7.316593
0.154000,90.000000,55.871254,34.429111,7.255217,7.255217
0.155000,90.000000,56.169228,34.128746,7.194328,7.194328
0.156000,90.000000,56.464825,33.830772,7.133923,7.133923
0.157000,90.000000,56.758053,33.535175,7.073999,7.073999
0.158000,90.000000,57.048927,33.241947,7.014555,7.014555
0.159000,90.000000,57.337463,32.951073,6.955587,6.955587
0.160000,90.000000,57.623672,32.662537,6.897093,6.897093
0.161000,90.000000,57.907570,32.376328,6.839071,6.839071
0.162000,90.000000,58.189171,32.092430,6.781517,6.781517
0.163000,90.000000,58.468483,31.810829,6.724427,6.724427
0.164000,90.000000,58.745525,31.531517,6.667802,6.667802
0.165000,90.000000,59.020309,31.254475,6.611636,6.611636
0.166000,90.000000,59.292850,30.979691,6.555928,6.555928
0.167000,90.000000,59.563168,30.707150,6.500674,6.500674
0.168000,90.000000,59.831268,30.436832,6.445870,6.445870
0.169000,90.000000,60.097172,30.168732,6.391515,6.391515
0.170000,90.000000,60.360893,29.902828,6.337605,6.337605
0.171000,90.000000,60.622448,29.639107,6.284138,6.284138
0.172000,90.000000,60.881851,29.377552,6.231109,6.231109
0.173000,90.000000,61.139114,29.118149,6.178516,6.178516
0.174000,90.000000,61.394253,28.860886,6.126357,6.126357
0.175000,90.000000,61.647282,28.605747,6.074628,6.074628
0.176000,90.000000,61.898220,28.352718,6.023327,6.023327
0.177000,90.000000,62.147083,28.101780,5.972449,5.972449
0.178000,90.000000,62.393883,27.852917,5.921991,5.921991
0.179000,90.000000,62.638630,27.606117,5.871952,5.871952
0.180000,90.000000,62.881344,27.361370,5.822329,5.822329
0.181000,90.000000,63.122036,27.118656,5.773117,5.773117
0.182000,90.000000,63.360725,26.877964,5.724315,5.724315
0.183000,90.000000,63.597431,26.639275,5.675919,5.675919
0.184000,90.000000,63.832169,26.402569,5.627925,5.627925
0.185000,90.000000,64.064949,26.167831,5.580329,5.580329
0.186000,90.000000,64.295784,25.935051,5.533130,5.533130
0.187000,90.000000,64.524689,25.704216,5.486325,5.486325
0.188000,90.000000,64.751678,25.475311,5.439911,5.439911
0.189000,90.000000,64.976768,25.248322,5.393886,5.393886
0.190000,90.000000,65.199974,25.023232,5.348245,5.348245
0.191000,90.000000,65.421310,24.800026,5.302986,5.302986
0.192000,90.000000,65.640793,24.578690,5.258105,5.258105
0.193000,90.000000,65.858437,24.359207,5.213601,5.213601
0.194000,90.000000,66.074257,24.141563,5.169468,5.169468
0.195000,90.000000,66.288269,23.925743,5.125706,5.125706
0.196000,90.000000,66.500481,23.711731,5.082309,5.082309
0.197000,90.000000,66.710915,23.499519,5.039278,5.039278
0.198000,90.000000,66.919586,23.289085,4.996607,4.996607
0.199000,90.000000,67.126511,23.080414,4.954293,4.954293
0.200000,90.000000,67.331696,22.873489,4.912333,4.912333
0.201000,90.000000,67.535149,22.668304,4.870725,4.870725
0.202000,90.000000,67.736893,22.464851,4.829469,4.829469
0.203000,90.000000,67.936943,22.263107,4.788558,4.788558
0.204000,90.000000,68.135315,22.063057,4.747991,4.747991
0.205000,90.000000,68.332008,21.864685,4.707764,4.707764
0.206000,90.000000,68.527046,21.667992,4.667877,4.667877
0.207000,90.000000,68.720436,21.472954,4.628326,4.628326
0.208000,90.000000,68.912193,21.279564,4.589108,4.589108
0.209000,90.000000,69.102333,21.087807,4.550222,4.550222
0.210000,90.000000,69.290863,20.897667,4.511663,4.511663
0.211000,90.000000,69.477806,20.709137,4.473431,4.473431
0.212000,90.000000,69.663170,20.522194,4.435520,4.435520
0.213000,90.000000,69.846962,20.336830,4.397929,4.397929
0.214000,90.000000,70.029205,20.153038,4.360656,4.360656
0.215000,90.000000,70.209915,19.970795,4.323698,4.323698
0.216000,90.000000,70.389099,19.790085,4.287049,4.287049
0.217000,90.000000,70.566772,19.610901,4.250710,4.250710
0.218000,90.000000,70.742943,19.433228,4.214678,4.214678
0.219000,90.000000,70.917618,19.257057,4.178950,4.178950
0.220000,90.000000,71.090813,19.082382,4.143525,4.143525
0.221000,90.000000,71.262550,18.909187,4.108399,4.108399
0.222000,90.000000,71.432838,18.737450,4.073569,4.073569
0.223000,90.000000,71.601685,18.567162,4.039033,4.039033
